SA3_NAME21,SA3_CODE21,SA3_CODE_2011,year,total_persons,overseas_born,overseas_born_pct,diversity_simpson,recent_arrivals_2007_2011,new_arrivals_share,recent_arrivals_rate
Adelaide City,40101,40101,2011,19640,7909,40.26985743,0.890290891,12417,156.9983563,63.22301426
Adelaide Hills,40102,40102,2011,68057,11150,16.38332574,0.692968336,2838,25.4529148,4.170033942
Burnside,40103,40103,2011,42193,11364,26.93337757,0.894197789,7536,66.31467793,17.86078259
Campbelltown (SA),40104,40104,2011,48501,15817,32.61169873,0.882883032,9660,61.07352848,19.91711511
Norwood - Payneham - St Peters,40105,40105,2011,34887,10105,28.96494396,0.897154798,8238,81.52399802,23.61338034
Prospect - Walkerville,40106,40106,2011,26953,7093,26.31618002,0.893111675,5901,83.194699,21.89366675
Unley,40107,40107,2011,36840,8462,22.96959826,0.890890447,6366,75.23044198,17.28013029
Gawler - Two Wells,40201,40201,2011,31640,5583,17.64538559,0.549683703,1128,20.2041913,3.565107459
Playford,40202,40202,2011,79870,17444,21.8404908,0.678548372,5376,30.81861958,6.730937774
Port Adelaide - East,40203,40203,2011,60936,19677,32.2912564,0.887851595,17196,87.39137064,28.21977156
Salisbury,40204,40204,2011,127662,35549,27.84618759,0.854846776,17499,49.22501336,13.70728956
Tea Tree Gully,40205,40205,2011,91538,21679,23.68306059,0.729203965,7371,34.00064579,8.052393541
Holdfast Bay,40301,40301,2011,33068,7434,22.48094835,0.767867086,5436,73.12348668,16.43885327
Marion,40302,40302,2011,84325,21161,25.09457456,0.836791826,14079,66.53277255,16.69611622
Mitcham,40303,40303,2011,61657,13550,21.97641792,0.855863226,8598,63.45387454,13.94488866
Onkaparinga,40304,40304,2011,160818,35055,21.79793307,0.630367457,13299,37.93752674,8.269596687
Charles Sturt,40401,40401,2011,102230,27965,27.35498386,0.902152456,15738,56.27748972,15.39469823
Port Adelaide - West,40402,40402,2011,56601,15929,28.14261232,0.888775041,9501,59.64592881,16.78592251
West Torrens,40403,40403,2011,57823,16739,28.94868824,0.905727847,14838,88.64328813,25.66106912
Barossa,40501,40501,2011,33199,3942,11.87385162,0.575012208,747,18.94977169,2.250067773
Lower North,40502,40502,2011,22054,2082,9.440464315,0.644463638,501,24.06340058,2.271696744
Mid North,40503,40503,2011,27263,2135,7.831126435,0.749706739,645,30.21077283,2.365843818
Yorke Peninsula,40504,40504,2011,23998,2280,9.500791733,0.595865266,297,13.02631579,1.237603134
Eyre Peninsula and South West,40601,40601,2011,56396,6737,11.94588269,0.703342921,2229,33.0859433,3.952407972
Outback - North and East,40602,40602,2011,28222,2654,9.404011055,0.863610344,1686,63.52675207,5.974062788
Fleurieu - Kangaroo Island,40701,40701,2011,46350,8056,17.38079827,0.547005433,1455,18.06107249,3.139158576
Limestone Coast,40702,40702,2011,63077,5984,9.486817699,0.834752243,3423,57.20254011,5.426700699
Murray and Mallee,40703,40703,2011,67698,7417,10.95601052,0.853267009,3828,51.61116354,5.654524506
Migratory - Offshore - Shipping (SA),49797,49797,2011,5,0,0,,0,,0
No usual address (SA),49999,49999,2011,3068,663,21.61016949,0.835095287,666,100.4524887,21.70795306
Augusta - Margaret River - Busselton,50101,50101,2011,42046,7575,18.0159825,0.720113174,3648,48.15841584,8.676211768
Bunbury,50102,50102,2011,94386,17662,18.71252092,0.798475118,11439,64.76616465,12.11938211
Manjimup,50103,50103,2011,21672,3923,18.10169804,0.69157577,966,24.62401224,4.457364341
Mandurah,50201,50201,2011,83294,20109,24.14219512,0.675616849,12018,59.76428465,14.42841021
Cottesloe - Claremont,50301,50301,2011,64134,19774,30.83231983,0.859171872,16347,82.66916153,25.48882028
Perth City,50302,50302,2011,92217,34206,37.09294382,0.891312834,35379,103.4292229,38.36494356
Bayswater - Bassendean,50401,50401,2011,76341,27624,36.18501199,0.898960074,17442,63.14074718,22.84748693
Mundaring,50402,50402,2011,40413,10825,26.78593522,0.741832432,2457,22.69745958,6.079726821
Swan,50403,50403,2011,103138,31189,30.24006671,0.861017028,15645,50.16191606,15.16899688
Joondalup,50501,50501,2011,152421,57225,37.54403921,0.725161339,33330,58.24377457,21.86706556
Stirling,50502,50502,2011,178430,63350,35.50411926,0.895820885,43815,69.16337806,24.55584823
Wanneroo,50503,50503,2011,152103,60346,39.67443114,0.776765071,43638,72.31299506,28.68976943
Armadale,50601,50601,2011,62297,18646,29.93081529,0.756980332,8550,45.85433873,13.72457743
Belmont - Victoria Park,50602,50602,2011,63804,24450,38.32048147,0.892294823,24675,100.9202454,38.67312394
Canning,50603,50603,2011,88763,40465,45.58768856,0.89862876,38343,94.75596194,43.19705283
Gosnells,50604,50604,2011,106585,40112,37.63381339,0.8724603,27336,68.14918229,25.64713609
Kalamunda,50605,50605,2011,53563,14910,27.83637959,0.760926732,6003,40.26156942,11.20736329
Serpentine - Jarrahdale,50606,50606,2011,17805,4297,24.13367032,0.665495717,1032,24.01675588,5.796124684
South Perth,50607,50607,2011,40808,14308,35.0617526,0.885479093,12867,89.92871121,31.53058224
Cockburn,50701,50701,2011,87413,28097,32.14281629,0.873670973,17649,62.81453536,20.1903607
Fremantle,50702,50702,2011,33627,10008,29.76179855,0.819391569,5214,52.09832134,15.50539745
Kwinana,50703,50703,2011,29227,8612,29.46590481,0.789441099,4998,58.03529958,17.10062613
Melville,50704,50704,2011,98370,33414,33.96767307,0.875944993,19026,56.9402047,19.34126258
Rockingham,50705,50705,2011,104105,32669,31.38081744,0.636445996,21966,67.23805442,21.09985111
,50801,50801,2011,15608,2110,13.51870835,0.780898902,1287,60.99526066,8.245771399
,50802,50802,2011,9291,1524,16.40297062,0.851390869,765,50.19685039,8.233774621
,50803,50803,2011,41812,8815,21.08246436,0.800490424,10029,113.7719796,23.98593705
,50804,50804,2011,34794,4899,14.0800138,0.797311239,3171,64.72749541,9.113640283
,50805,50805,2011,53657,7677,14.30754608,0.800064626,4908,63.93122313,9.146989209
,50806,50806,2011,59894,11627,19.41262898,0.831034025,11406,98.09925174,19.04364377
Albany,50901,50901,2011,55357,10454,18.8846939,0.757202004,4293,41.06562081,7.755116787
Wheat Belt - North,50902,50902,2011,53371,8692,16.28599801,0.747910864,3849,44.28209848,7.211781679
Wheat Belt - South,50903,50903,2011,20711,2672,12.90135677,0.774233625,1527,57.14820359,7.372893631
Migratory - Offshore - Shipping (WA),59797,59797,2011,416,117,28.125,0.797720798,36,30.76923077,8.653846154
No usual address (WA),59999,59999,2011,7298,2268,31.0770074,0.816967299,2844,125.3968254,38.96958071
Brighton,60101,60101,2011,16013,814,5.083369762,0.776651232,150,18.42751843,0.9367389
Hobart - North East,60102,60102,2011,49643,4907,9.884575872,0.752214379,1800,36.68229061,3.625888846
Hobart - North West,60103,60103,2011,51251,5306,10.35296872,0.8346534,2886,54.39125518,5.631109637
Hobart - South and West,60104,60104,2011,31093,5263,16.92663944,0.777690695,1929,36.65209956,6.203968739
Hobart Inner,60105,60105,2011,48804,10091,20.67658389,0.880769243,8421,83.45059954,17.25473322
Sorell - Dodges Ferry,60106,60106,2011,14849,1355,9.125193616,0.690859874,249,18.37638376,1.676880598
Launceston,60201,60201,2011,79046,9345,11.82223009,0.834885423,6546,70.04815409,8.281253953
Meander Valley - West Tamar,60202,60202,2011,22005,2658,12.07907294,0.658976606,393,14.78555305,1.785957737
North East,60203,60203,2011,36512,3529,9.665315513,0.692182597,615,17.42703315,1.684377739
Central Highlands (Tas.),60301,60301,2011,11339,842,7.425698915,0.653153051,138,16.38954869,1.21703854
Huon - Bruny Island,60302,60302,2011,17941,2652,14.78178474,0.680081227,591,22.28506787,3.294130762
South East Coast,60303,60303,2011,6518,743,11.39920221,0.680990274,186,25.03364738,2.853636085
Burnie - Ulverstone,60401,60401,2011,47968,4044,8.430620414,0.730644782,1182,29.22848665,2.464142762
Devonport,60402,60402,2011,43224,3858,8.925596891,0.706714062,978,25.34992224,2.262631871
West Coast,60403,60403,2011,17956,1699,9.462018267,0.801283586,717,42.20129488,3.99309423
Migratory - Offshore - Shipping (Tas.),69797,69797,2011,116,21,18.10344828,0.702947846,18,85.71428571,15.51724138
No usual address (Tas.),69999,69999,2011,1073,180,16.77539609,0.833148148,210,116.6666667,19.57129543
Darwin City,70101,70101,2011,22771,5910,25.95406438,0.89028845,6105,103.2994924,26.81041676
Darwin Suburbs,70102,70102,2011,51574,13644,26.4551906,0.883719645,11049,80.98065084,21.42358553
Litchfield,70103,70103,2011,18620,2269,12.1858217,0.841773916,531,23.4023799,2.851772288
Palmerston,70104,70104,2011,27618,4203,15.21833587,0.87616999,2850,67.80870807,10.31935694
Alice Springs,70201,70201,2011,36066,5389,14.94205068,0.885888008,5712,105.9936909,15.83763101
Barkly,70202,70202,2011,5722,372,6.501223348,0.879971673,255,68.5483871,4.456483747
Daly - Tiwi - West Arnhem,70203,70203,2011,15751,724,4.596533553,0.853987974,432,59.66850829,2.742683004
East Arnhem,70204,70204,2011,14020,874,6.233951498,0.854206704,696,79.63386728,4.964336662
Katherine,70205,70205,2011,17823,1135,6.368175952,0.858126492,831,73.21585903,4.662514728
Migratory - Offshore - Shipping (NT),79797,79797,2011,108,33,30.55555556,0.760330579,30,90.90909091,27.77777778
No usual address (NT),79999,79999,2011,1870,449,24.01069519,0.832664521,531,118.2628062,28.39572193
Belconnen,80101,80101,2011,92444,21857,23.64350309,0.893694639,12939,59.19842613,13.99658171
,80102,80102,2011,549,89,16.21129326,0.830703194,90,101.1235955,16.39344262
Canberra East,80103,80103,2011,1503,248,16.50033267,0.836498439,66,26.61290323,4.391217565
Gungahlin,80104,80104,2011,47303,13698,28.95799421,0.907462887,9090,66.36005256,19.21654018
North Canberra,80105,80105,2011,48030,13440,27.98251093,0.90168994,13434,99.95535714,27.97001874
South Canberra,80106,80106,2011,24154,5770,23.88838288,0.885883357,3180,55.11265165,13.16552124
Tuggeranong,80107,80107,2011,86900,16266,18.71806674,0.882295678,4956,30.46846182,5.70310702
Weston Creek,80108,80108,2011,22746,4768,20.96192737,0.870117144,1761,36.93372483,7.742020575
Woden Valley,80109,80109,2011,32958,9372,28.43619152,0.896359631,6291,67.12548015,19.08793009
Migratory - Offshore - Shipping (ACT),89797,89797,2011,0,0,,,0,,
No usual address (ACT),89999,89999,2011,631,152,24.08874802,0.854916898,192,126.3157895,30.42789223
Christmas Island,90101,90101,2011,2072,1179,56.9015444,0.69794632,195,16.5394402,9.411196911
Cocos (Keeling) Islands,90102,90102,2011,550,51,9.272727273,0.677431757,30,58.82352941,5.454545455
Jervis Bay,90103,90103,2011,378,14,3.703703704,0.734693878,9,64.28571429,2.380952381
Migratory - Offshore - Shipping (OT),99797,99797,2011,3,0,0,,0,,0
No usual address (OT),99999,99999,2011,26,9,34.61538462,0.666666667,18,200,69.23076923
