SA3_CODE_2021,recent_arrivals_2017_2021,new_arrivals_share,recent_arrivals_rate
10102,1423,12.045031318774337,2.196224900838053
10103,494,17.38824357620556,2.3845151324998795
10104,533,5.354631303998392,0.6945892410341952
10105,484,12.299872935196952,1.2603182043069552
10106,268,7.710011507479862,0.7023244843942451
10201,2515,7.445013469109854,1.4095400359811014
10202,1328,6.070579630645456,0.7896724167662676
10301,677,13.712781041118088,1.3775281813372402
10302,502,16.15186615186615,0.9180016092458488
10303,343,8.014018691588785,0.7165239189471486
10304,773,13.609154929577466,1.261711226
10401,303,6.862967157417893,0.5646138078822324
10402,2325,16.643997422864913,2.514546516
10501,283,22.318611987381704,1.3097607256907484
10502,199,20.34764826175869,1.0012074864157778
10503,1315,21.213098886917244,1.7750121483721182
10601,587,8.134700665,0.5994261031176285
10602,798,9.922904750062171,0.917041105965364
10603,698,7.397986221515633,0.9134451802025808
10604,563,21.038863976083707,1.840831807481036
10701,767,4.739248640632724,0.960924090755334
10702,0,,0.0
10703,760,4.867738423108948,0.7657122131097991
10704,4258,14.726939439006676,3.159644410145293
10801,245,6.692160611854685,0.73549278
10802,315,7.105797428378073,0.6157876216913634
10803,9,12.32876712328767,2.02247191011236
10804,842,7.8964644096408145,0.97026964738419
10805,361,6.95970696,0.6295230621675821
10901,1134,14.786804016168992,1.691426525863612
10902,220,23.55460385438972,1.6850490196078431
10903,360,11.760862463247305,0.8284813476629922
11001,1631,33.15714576133361,4.345046221061886
11002,405,14.846041055718477,1.045674007900648
11003,258,20.992676973148903,1.0439849471937843
11004,1608,25.350780387829104,1.901181144255666
11101,1078,8.103435315342404,0.8522008601062484
11102,632,6.635170603674541,0.7433370186539955
11103,4939,18.92699750910136,2.759217877094972
11201,1937,13.654307063301848,2.206854122043476
11202,582,8.855751673767498,0.8095026148881718
11203,1113,7.40765391,1.1428043371118777
11301,2412,29.526257803892765,4.866926289876713
11302,163,11.889132020423048,1.0916884334605854
11303,2486,25.742984363674022,2.506831772025532
11401,1009,6.900088901046297,0.9314304704231592
11402,772,8.134878819810327,1.4655074224533962
11501,7106,10.51385621495258,4.591418067
11502,297,4.637726420986883,1.0639822311384968
11503,99,3.301100367,0.395904983
11504,2384,11.83009130607384,4.205920750855651
11601,10896,16.695012640772237,7.640846551941768
11602,9362,13.92325996430696,6.557354084512962
11603,4748,10.250431778929189,4.106236324797412
11701,6297,22.00286522939306,10.714468019941808
11702,1935,10.92109718929902,3.5328914936736595
11703,30231,28.90180594,13.880483941320968
11801,9397,19.33658456,7.389495702501435
11802,10795,20.29440517371033,8.041387632874713
11901,7258,9.635707079,3.897017369593815
11902,10880,15.576234788833217,7.7113352375417294
11903,9737,16.055734190782424,7.383843056366546
11904,12584,17.935890309431166,8.624021710823888
12001,4567,13.483909064068497,5.2672248748644845
12002,1640,10.14098441751175,2.9079045356218307
12003,18799,23.161746587156863,11.628295374413916
12101,8664,16.730067391430282,7.376379239885574
12102,5104,14.213706870143977,5.836144302784289
12103,5794,10.94922237,4.659166753781452
12104,6205,17.17551969441138,6.546877967460802
12201,2854,18.626811121263543,6.610613114678156
12202,1043,6.862293571945523,1.6429854131879904
12203,5813,11.81335988782084,3.704836746269988
12301,732,5.88945208785904,0.994862595
12302,5727,9.197192824680018,3.219604337780176
12303,201,3.9442700156985873,0.4385103737155573
12401,587,4.313956052032043,0.7530468248877485
12402,0,,0.0
12403,2758,8.201498751040798,1.7312158684326155
12404,520,9.244444444444444,1.368349034261355
12405,1380,8.434692255974575,2.43000528262018
12501,15244,23.852665508770283,14.72224368384455
12502,4020,11.271554745548858,5.430671133686372
12503,10843,14.57079122769297,6.619011573961029
12504,23824,28.477169495577336,15.660496424063949
12601,4600,16.96540532566202,8.389261744966444
12602,12230,17.481667834017067,8.308311028382768
12701,4091,7.3727652825836225,2.8592395862454567
12702,13459,12.285602139642725,6.895968684032545
12703,6869,11.441087311369468,5.044133413620409
12801,1898,8.045100033909799,1.610316887965045
12802,1233,5.961129375362599,1.1034544478253088
19797,0,,
19999,636,33.61522198731501,5.593175622196816
20101,1978,15.153604535355855,1.702222872436554
20102,181,4.598577235772358,0.5843422114608555
20103,114,4.531001589825119,0.4260248888224522
20201,1759,17.02807357212004,1.7072034474057105
20202,354,5.523482602590107,0.6742857142857143
20203,74,8.194905869324474,0.6053664921465969
20301,78,3.742802303262956,0.3469287906418182
20302,6229,15.736951139406802,2.938401592557999
20303,949,7.626165220186436,1.015875054861535
20401,652,9.88777676675766,1.0866304456518114
20402,540,12.433801519686853,1.1144590745862055
20403,1142,13.26981175923774,1.4932984635501798
20501,629,9.036058038,1.0887061877974902
20502,446,7.716262975778547,0.9133729264796232
20503,492,5.047706986765158,0.6876502487840331
20504,868,8.815762746292911,1.1248185776487662
20505,480,9.525699543560233,1.0543657331136738
20601,4222,16.075236064575083,4.697687874134901
20602,1313,9.8922624877571,2.464801952318378
20603,3257,17.142105263157895,4.740074513913145
20604,34126,41.65568087495728,22.811344843951577
20605,7454,22.089198399762928,7.310996900623798
20606,4888,23.202164522713247,7.815922864132781
20607,4909,18.834407612031924,5.390951021304635
20701,8089,14.8435636296908,4.817748659916617
20702,5913,12.512432020653025,6.010001422966682
20703,9914,21.540935164262123,9.249255973205706
20801,3166,11.540424291025737,3.125185082818392
20802,9853,16.991739527825203,6.297093993059328
20803,2863,8.542443681933461,2.333466456929083
20804,2205,18.55435880175025,5.229827807030027
20901,3360,10.870620207706493,2.661681295351564
20902,5727,17.141574378928464,6.009506920324452
20903,521,4.863250257,0.776395202
20904,12029,13.27836098508682,4.772920254259481
21001,1058,6.241887905604719,1.7151101528685135
21002,174,4.35,0.5277685098122479
21003,5775,19.345437491625358,7.170617231831332
21004,646,8.092195916322185,1.433516776
21005,14816,16.374708502337505,7.260218257371209
21101,4548,8.643758553,2.857717344861387
21102,546,7.856115107913669,2.069279163192602
21103,3470,12.010660759406043,3.0284781679016226
21104,3036,12.370629940510144,4.8240247874791455
21105,1527,5.835371446040966,0.9835368681403616
21201,3236,11.640706500233822,2.734447617920941
21202,5935,10.582529465256853,4.323060450006191
21203,13369,13.68400581383447,5.864882649703882
21204,17906,16.42857798207224,9.246865381834708
21205,18256,19.61302521459804,9.985068341054406
21301,11582,12.641620642231876,6.2246395115737885
21302,2440,9.723052400876668,2.8179098961761886
21303,5462,16.854903412948218,6.410120997
21304,7730,11.6247593840231,3.895403625295431
21305,29003,20.345558112127502,9.7736126275493
21401,2081,6.982049991612145,1.494101851652415
21402,1392,4.667694990275635,0.8239221535620428
21501,889,17.12249614791988,1.4733178654292345
21502,2006,25.850515463917528,3.5210278733412905
21503,1399,30.585920419763884,3.6561781308802006
21601,436,14.829931972789115,1.1211396538867031
21602,453,15.009940357852884,1.4841753489286416
21603,2502,21.05706110082478,3.668298976629622
21701,319,10.49342105263158,0.8670363122417917
21703,616,17.620137299771166,1.6001246850403927
21704,925,19.659936238044637,1.7526574075828485
29797,0,0.0,0.0
29999,436,30.79096045,4.797007371548025
30101,992,6.116283371354584,1.3517933064428214
30102,1390,6.253936830738774,1.4883183073859134
30103,1588,9.072730389076158,2.174121383880286
30201,1426,11.326449563145353,3.091598916
30202,2491,14.501950282354311,3.3512713574599755
30203,1857,16.467145517424846,4.321519164087408
30204,2146,13.179389547380705,3.508198329273676
