SA3_CODE,year,total_persons,overseas_born,overseas_born_pct,diversity_simpson,recent_arrivals,new_arrivals_share,recent_arrivals_rate
10101,2011,67499,5439,8.057897154031913,0.8193822332976064,1593,29.288472145615003,2.360034963480941
10102,2011,53512,9214,17.218567797877114,0.8928923431651865,4224,45.84328196223139,7.8935565854387795
10103,2011,18930,2358,12.456418383518225,0.8421150886916285,591,25.06361323155216,3.122028526
10104,2011,67881,8626,12.707532299170609,0.7588885886219895,1188,13.772316253188036,1.750121536217793
10201,2011,163111,25697,15.75430228494706,0.7888835936201667,7542,29.34972954041328,4.623845111611112
10202,2011,149077,17892,12.001851392233544,0.7922297803014026,3513,19.634473507712944,2.356500332043173
10301,2011,43554,3667,8.419433347109335,0.8489771872140834,1191,32.47886555767657,2.734536438
10302,2011,54795,2574,4.697508896797153,0.8344867598946853,1020,39.62703962703963,1.86148371201752
10303,2011,43919,3694,8.410938318,0.8138323490381834,780,21.115322144017327,1.7759967212368222
10304,2011,54470,4257,7.815311180466312,0.8629380706342864,1758,41.29668780831571,3.227464659445566
10401,2011,49238,3573,7.256590438279378,0.7708955330855095,738,20.65491183879093,1.498842357528738
10402,2011,81362,10363,12.736904205894644,0.8166935214560066,4476,43.19212583228795,5.501339692
10501,2011,25293,1463,5.78420907,0.8758620592991209,963,65.82365003417635,3.807377535286443
10502,2011,21203,983,4.636136395793048,0.8779174760346025,468,47.60935910478128,2.2072348252605765
10503,2011,67098,3471,5.173030492712153,0.8707523613566945,1449,41.745894554883314,2.159527854779576
10601,2011,81987,5619,6.853525558930073,0.8114024439934918,1920,34.16978109983983,2.341834681
10602,2011,64207,4902,7.634681576775118,0.8466220250654151,1968,40.14687882,3.0650863613001698
10603,2011,67503,7512,11.128394293586952,0.7729296597222931,2151,28.63418530351437,3.186525043331408
10604,2011,29547,2063,6.982096321115511,0.8431936416830104,1494,72.41880756,5.056350898568383
10701,2011,71918,15843,22.029255541032843,0.8591514757398098,2007,12.668055292558227,2.790678272476988
10702,2011,12,0,0.0,,0,,0.0
10703,2011,83532,14037,16.80433845711823,0.7999216737409847,2427,17.290019234879246,2.9054733515299525
10704,2011,120524,25946,21.527662540240943,0.8923211565073673,15984,61.60487165651738,13.262088878563604
10801,2011,29848,2924,9.796301259715891,0.764374178,324,11.080711354309166,1.085499865987671
10802,2011,46828,3741,7.988810113607244,0.754760333,600,16.038492381716118,1.2812847014606643
10803,2011,360,41,11.38888888888889,0.6983938132064248,18,43.90243902439025,5.0
10804,2011,72711,8028,11.040970417130833,0.7389277352385732,1806,22.49626307922272,2.4838057515369063
10805,2011,51359,4193,8.164099768,0.7661347609603846,846,20.176484617219177,1.6472283338850056
10901,2011,57438,5432,9.457153800619798,0.8573935127244648,3177,58.48674521354934,5.531181447821999
10902,2011,12424,744,5.988409529942048,0.862538299,324,43.54838709677419,2.6078557630392787
10903,2011,40457,2633,6.508144449662605,0.7917352127002957,759,28.826433725788075,1.8760659465605456
11001,2011,35945,3452,9.603560996,0.8588136052923793,2736,79.25840092699885,7.611628877451662
11002,2011,37761,2269,6.008845104737692,0.820207829,801,35.30189510797708,2.121236196075316
11003,2011,25687,1126,4.383540312220189,0.891222801,684,60.746003552397866,2.662825553782069
11004,2011,76805,3832,4.989258511815637,0.8328930422200043,1497,39.06576200417536,1.9490918559989583
11101,2011,116868,10981,9.396070781,0.8429687987283646,3483,31.718422730170293,2.9802854502515657
11102,2011,70005,7079,10.112134847510893,0.8133590752806286,1752,24.749258369826247,2.502678380115706
11103,2011,155737,19052,12.233444846118775,0.8966449172180636,12414,65.15851354188537,7.971130817
11201,2011,73228,9679,13.217621674769214,0.8102524340558074,3327,34.37338568033888,4.5433440760364885
11202,2011,69286,5698,8.223883613,0.8311138834129357,1722,30.22113022113022,2.485350575873914
11203,2011,85105,12664,14.880441807179368,0.7624013997627189,3996,31.554011370814912,4.695376299864873
11301,2011,46594,5631,12.085247027514272,0.8563518395153853,3570,63.39904102,7.661930720693652
11302,2011,14327,1208,8.431632581838487,0.863577804,618,51.158940397351,4.313533887066378
11303,2011,89194,6135,6.8782653541718055,0.8680238241840575,4035,65.77017114914425,4.523846896
11401,2011,92621,11692,12.62348711415338,0.7536773040834024,1827,15.626069107081769,1.9725548201811685
11402,2011,44386,6710,15.117379353850314,0.7547779522522382,1116,16.63189269746647,2.5143063128013337
11501,2011,133822,46741,34.92773983351019,0.9232202451567776,16593,35.49988233028819,12.39930654152531
11502,2011,25336,5411,21.356962425007893,0.8873859798317021,1353,25.00462021807429,5.340227344490054
11503,2011,24074,2850,11.838497964609122,0.7950222222222223,387,13.578947368421051,1.60754340782587
11504,2011,27181,6275,23.085979176630737,0.9123701274582944,1845,29.40239043824701,6.787829734005372
11601,2011,125022,49067,39.246692582105545,0.8984314145246195,24456,49.84205270344631,19.5613572
11602,2011,74777,26800,35.83989729462268,0.8947677684339497,10788,40.25373134328358,14.426895970686171
11603,2011,103728,38347,36.96880302329168,0.8508009033863704,16068,41.90158291391764,15.49051365108746
11701,2011,39357,16507,41.94171303707092,0.8837749519967534,7539,45.67153328890773,19.155423431664
11702,2011,50613,17625,34.82306917195187,0.8995804138624818,8184,46.43404255319149,16.16975875763144
11703,2011,174572,71987,41.236280732305296,0.9090009942592756,75132,104.36884437467876,43.03782966340536
11801,2011,120557,41577,34.48742088804466,0.8600971031488177,28077,67.53012482863122,23.289398375871997
